idg,pid,gender,variable,value
8,56.0,F,Attractive,5.0
8,57.0,F,Attractive,9.0
8,58.0,F,Attractive,8.0
8,59.0,F,Attractive,6.0
8,60.0,F,Attractive,9.0
8,61.0,F,Attractive,8.0
8,62.0,F,Attractive,8.0
8,63.0,F,Attractive,6.0
8,64.0,F,Attractive,7.0
8,65.0,F,Attractive,7.0
11,66.0,H,Attractive,3.0
11,67.0,H,Attractive,0.0
11,68.0,H,Attractive,4.0
11,69.0,H,Attractive,2.0
11,70.0,H,Attractive,5.0
11,71.0,H,Attractive,6.0
11,72.0,H,Attractive,5.0
11,73.0,H,Attractive,3.0
11,74.0,H,Attractive,5.0
11,75.0,H,Attractive,6.0
8,76.0,F,Attractive,10.0
30,76.0,F,Attractive,5.0
10,76.0,F,Attractive,2.0
26,76.0,F,Attractive,4.0
18,76.0,F,Attractive,1.0
24,76.0,F,Attractive,5.0
24,77.0,F,Attractive,7.0
30,77.0,F,Attractive,9.0
10,77.0,F,Attractive,8.0
8,77.0,F,Attractive,6.0
26,77.0,F,Attractive,5.0
18,77.0,F,Attractive,6.0
26,78.0,F,Attractive,5.0
24,78.0,F,Attractive,7.0
18,78.0,F,Attractive,3.0
30,78.0,F,Attractive,7.0
8,78.0,F,Attractive,9.0
10,78.0,F,Attractive,7.0
10,79.0,F,Attractive,2.0
30,79.0,F,Attractive,6.0
8,79.0,F,Attractive,7.0
24,79.0,F,Attractive,6.0
26,79.0,F,Attractive,5.0
18,79.0,F,Attractive,2.0
8,80.0,F,Attractive,8.0
18,80.0,F,Attractive,8.0
26,80.0,F,Attractive,7.0
24,80.0,F,Attractive,8.0
10,80.0,F,Attractive,6.0
30,80.0,F,Attractive,8.0
26,81.0,F,Attractive,4.0
24,81.0,F,Attractive,9.0
8,81.0,F,Attractive,8.0
10,81.0,F,Attractive,7.0
30,81.0,F,Attractive,7.0
18,81.0,F,Attractive,2.0
26,82.0,F,Attractive,5.0
24,82.0,F,Attractive,7.0
18,82.0,F,Attractive,4.0
10,82.0,F,Attractive,7.0
30,82.0,F,Attractive,7.0
8,82.0,F,Attractive,8.0
24,83.0,F,Attractive,5.0
26,83.0,F,Attractive,5.0
30,83.0,F,Attractive,5.0
18,83.0,F,Attractive,5.0
8,83.0,F,Attractive,8.0
10,83.0,F,Attractive,5.0
26,84.0,F,Attractive,4.0
8,84.0,F,Attractive,4.0
24,84.0,F,Attractive,5.0
30,84.0,F,Attractive,4.0
18,84.0,F,Attractive,4.0
10,84.0,F,Attractive,5.0
24,85.0,F,Attractive,8.0
10,85.0,F,Attractive,8.0
26,85.0,F,Attractive,6.0
30,85.0,F,Attractive,6.0
18,85.0,F,Attractive,5.0
8,85.0,F,Attractive,7.0
8,86.0,F,Attractive,7.0
10,86.0,F,Attractive,7.0
30,86.0,F,Attractive,10.0
18,86.0,F,Attractive,5.0
24,86.0,F,Attractive,7.0
26,86.0,F,Attractive,5.0
18,87.0,F,Attractive,2.0
8,87.0,F,Attractive,3.0
26,87.0,F,Attractive,2.0
10,87.0,F,Attractive,2.0
24,87.0,F,Attractive,1.0
30,87.0,F,Attractive,7.0
18,88.0,F,Attractive,2.0
10,88.0,F,Attractive,3.0
30,88.0,F,Attractive,8.0
26,88.0,F,Attractive,2.0
8,88.0,F,Attractive,6.0
24,88.0,F,Attractive,6.0
24,89.0,F,Attractive,6.0
8,89.0,F,Attractive,7.0
10,89.0,F,Attractive,6.0
18,89.0,F,Attractive,6.0
30,89.0,F,Attractive,9.0
26,89.0,F,Attractive,8.0
30,90.0,F,Attractive,7.0
10,90.0,F,Attractive,6.0
24,90.0,F,Attractive,5.0
8,90.0,F,Attractive,7.0
18,90.0,F,Attractive,5.0
26,90.0,F,Attractive,6.0
18,91.0,F,Attractive,4.0
10,91.0,F,Attractive,6.0
26,91.0,F,Attractive,5.0
24,91.0,F,Attractive,7.0
30,91.0,F,Attractive,9.0
8,91.0,F,Attractive,6.0
26,92.0,F,Attractive,7.0
8,92.0,F,Attractive,10.0
18,92.0,F,Attractive,4.0
10,92.0,F,Attractive,8.0
24,92.0,F,Attractive,7.0
30,92.0,F,Attractive,8.0
8,93.0,F,Attractive,8.0
10,93.0,F,Attractive,6.0
26,93.0,F,Attractive,7.0
30,93.0,F,Attractive,7.0
24,93.0,F,Attractive,7.0
18,93.0,F,Attractive,6.0
3,94.0,H,Attractive,8.0
5,94.0,H,Attractive,7.0
17,94.0,H,Attractive,6.0
33,94.0,H,Attractive,9.0
1,94.0,H,Attractive,6.0
35,94.0,H,Attractive,7.0
11,94.0,H,Attractive,9.0
5,95.0,H,Attractive,5.0
1,95.0,H,Attractive,6.0
35,95.0,H,Attractive,5.0
11,95.0,H,Attractive,6.0
17,95.0,H,Attractive,5.0
3,95.0,H,Attractive,4.0
33,95.0,H,Attractive,6.0
17,96.0,H,Attractive,7.0
35,96.0,H,Attractive,7.0
33,96.0,H,Attractive,7.0
1,96.0,H,Attractive,6.0
3,96.0,H,Attractive,7.0
11,96.0,H,Attractive,7.0
5,96.0,H,Attractive,6.0
11,97.0,H,Attractive,7.0
17,97.0,H,Attractive,7.0
35,97.0,H,Attractive,8.0
33,97.0,H,Attractive,8.0
1,97.0,H,Attractive,4.0
3,97.0,H,Attractive,6.0
5,97.0,H,Attractive,8.0
3,98.0,H,Attractive,10.0
