iid,wave,gender,age,race,field_cd,race_p,field_cd_p,match,attr1_1,sinc1_1,fun1_1,amb1_1,shar1_1
11,1,1,27.0,European,Business,4.0,1.0,0,35,20,20,0.0,5.0
11,1,1,27.0,European,Business,2.0,1.0,0,35,20,20,0.0,5.0
11,1,1,27.0,European,Business,2.0,2.0,0,35,20,20,0.0,5.0
11,1,1,27.0,European,Business,2.0,1.0,0,35,20,20,0.0,5.0
11,1,1,27.0,European,Business,2.0,1.0,0,35,20,20,0.0,5.0
11,1,1,27.0,European,Business,4.0,1.0,0,35,20,20,0.0,5.0
11,1,1,27.0,European,Business,4.0,1.0,0,35,20,20,0.0,5.0
11,1,1,27.0,European,Business,2.0,13.0,0,35,20,20,0.0,5.0
11,1,1,27.0,European,Business,6.0,13.0,0,35,20,20,0.0,5.0
11,1,1,27.0,European,Business,2.0,13.0,0,35,20,20,0.0,5.0
12,1,1,22.0,European,Law,4.0,1.0,0,60,0,40,0.0,0.0
12,1,1,22.0,European,Law,2.0,1.0,0,60,0,40,0.0,0.0
12,1,1,22.0,European,Law,2.0,2.0,0,60,0,40,0.0,0.0
12,1,1,22.0,European,Law,2.0,1.0,0,60,0,40,0.0,0.0
12,1,1,22.0,European,Law,2.0,1.0,0,60,0,40,0.0,0.0
12,1,1,22.0,European,Law,4.0,1.0,0,60,0,40,0.0,0.0
12,1,1,22.0,European,Law,4.0,1.0,0,60,0,40,0.0,0.0
12,1,1,22.0,European,Law,2.0,13.0,1,60,0,40,0.0,0.0
12,1,1,22.0,European,Law,6.0,13.0,1,60,0,40,0.0,0.0
12,1,1,22.0,European,Law,2.0,13.0,0,60,0,40,0.0,0.0
13,1,1,22.0,Asian,Law,4.0,1.0,1,19,18,18,14.0,12.0
13,1,1,22.0,Asian,Law,2.0,1.0,0,19,18,18,14.0,12.0
13,1,1,22.0,Asian,Law,2.0,2.0,0,19,18,18,14.0,12.0
13,1,1,22.0,Asian,Law,2.0,1.0,0,19,18,18,14.0,12.0
13,1,1,22.0,Asian,Law,2.0,1.0,0,19,18,18,14.0,12.0
13,1,1,22.0,Asian,Law,4.0,1.0,0,19,18,18,14.0,12.0
13,1,1,22.0,Asian,Law,4.0,1.0,0,19,18,18,14.0,12.0
13,1,1,22.0,Asian,Law,2.0,13.0,1,19,18,18,14.0,12.0
13,1,1,22.0,Asian,Law,6.0,13.0,1,19,18,18,14.0,12.0
13,1,1,22.0,Asian,Law,2.0,13.0,1,19,18,18,14.0,12.0
14,1,1,23.0,European,Law,4.0,1.0,1,30,5,40,5.0,5.0
14,1,1,23.0,European,Law,2.0,1.0,1,30,5,40,5.0,5.0
14,1,1,23.0,European,Law,2.0,2.0,0,30,5,40,5.0,5.0
14,1,1,23.0,European,Law,2.0,1.0,1,30,5,40,5.0,5.0
14,1,1,23.0,European,Law,2.0,1.0,1,30,5,40,5.0,5.0
14,1,1,23.0,European,Law,4.0,1.0,1,30,5,40,5.0,5.0
14,1,1,23.0,European,Law,4.0,1.0,1,30,5,40,5.0,5.0
14,1,1,23.0,European,Law,2.0,13.0,1,30,5,40,5.0,5.0
14,1,1,23.0,European,Law,6.0,13.0,1,30,5,40,5.0,5.0
14,1,1,23.0,European,Law,2.0,13.0,0,30,5,40,5.0,5.0
15,1,1,24.0,Latino,Law,4.0,1.0,1,30,10,10,10.0,20.0
15,1,1,24.0,Latino,Law,2.0,1.0,0,30,10,10,10.0,20.0
15,1,1,24.0,Latino,Law,2.0,2.0,0,30,10,10,10.0,20.0
15,1,1,24.0,Latino,Law,2.0,1.0,0,30,10,10,10.0,20.0
15,1,1,24.0,Latino,Law,2.0,1.0,0,30,10,10,10.0,20.0
15,1,1,24.0,Latino,Law,4.0,1.0,0,30,10,10,10.0,20.0
15,1,1,24.0,Latino,Law,4.0,1.0,0,30,10,10,10.0,20.0
15,1,1,24.0,Latino,Law,2.0,13.0,1,30,10,10,10.0,20.0
15,1,1,24.0,Latino,Law,6.0,13.0,1,30,10,10,10.0,20.0
15,1,1,24.0,Latino,Law,2.0,13.0,0,30,10,10,10.0,20.0
16,1,1,25.0,European,Business,4.0,1.0,0,50,0,10,0.0,10.0
16,1,1,25.0,European,Business,2.0,1.0,0,50,0,10,0.0,10.0
16,1,1,25.0,European,Business,2.0,2.0,0,50,0,10,0.0,10.0
