iid,s_attr,s_sinc,s_intel,s_fun,s_amb,o_attr,o_sinc,o_intel,o_fun,o_amb
1.0,6.0,8.0,8.0,8.0,7.0,6.7,7.4,8.0,7.2,8.0
2.0,7.0,5.0,8.0,10.0,3.0,7.7,7.1,7.9,7.5,7.5
3.0,8.0,9.0,9.0,8.0,8.0,6.5,7.1,7.3,6.2,7.111111111111111
4.0,7.0,8.0,7.0,9.0,8.0,7.0,7.1,7.7,7.5,7.7
5.0,6.0,3.0,10.0,6.0,8.0,5.3,7.7,7.6,7.2,7.8
6.0,5.0,7.0,9.0,8.0,5.0,6.8,7.8,8.6,7.0,8.0
7.0,6.0,6.0,7.0,5.0,7.0,7.9,7.6,8.2,7.0,7.5
8.0,7.0,4.0,8.0,8.0,8.0,8.2,7.8,8.1,7.9,7.444444444444445
9.0,7.0,6.0,7.0,10.0,7.0,7.0,7.4,7.5,7.8,6.9
10.0,6.0,8.0,6.0,10.0,9.0,6.333333333333333,7.0,6.4,6.4,6.2
11.0,8.0,9.0,8.0,7.0,5.0,5.6,8.8,8.2,5.4,6.4
12.0,9.0,9.0,10.0,9.0,9.0,7.1,6.6,7.1,6.7,6.9
13.0,4.0,7.0,8.0,8.0,3.0,4.8,7.9,8.8,7.0,5.9
14.0,9.0,9.0,9.0,9.0,9.0,8.2,7.6,7.4,7.6,6.6
15.0,7.0,7.0,9.0,7.0,9.0,5.7,7.6,7.7,7.2,6.5
16.0,6.0,6.0,8.0,8.0,6.0,5.6,8.4,7.6,4.4,6.0
17.0,7.0,7.0,8.0,6.0,4.0,6.7,7.6,8.5,6.1,6.7
18.0,6.0,8.0,8.0,6.0,9.0,5.1,7.4,7.7,5.2,7.5
19.0,10.0,6.0,10.0,10.0,10.0,7.7,6.8,7.7,8.5,7.1
20.0,7.0,7.0,10.0,10.0,10.0,7.5,7.3,7.9,8.2,8.4
21.0,5.0,9.0,9.0,7.0,10.0,5.0625,7.3125,7.75,5.666666666666667,6.666666666666667
22.0,7.0,8.0,8.0,7.0,7.0,4.8,6.625,6.5,5.5,6.071428571428571
23.0,5.0,8.0,7.0,6.0,8.0,5.9375,7.266666666666667,6.9375,6.25,6.4
24.0,7.0,9.0,8.0,9.0,8.0,6.5,6.933333333333334,7.333333333333333,6.625,6.714285714285714
25.0,7.0,9.0,8.0,7.0,6.0,7.6875,7.266666666666667,6.933333333333334,7.333333333333333,6.0
26.0,7.0,8.0,8.0,8.0,8.0,7.625,7.133333333333334,7.266666666666667,7.466666666666667,6.5
27.0,6.0,6.0,7.0,7.0,7.0,8.1875,7.4,6.866666666666666,7.5625,6.571428571428571
28.0,,,,,,6.625,7.4375,7.25,6.375,6.625
29.0,6.0,9.0,7.0,8.0,8.0,5.75,7.2,6.533333333333333,6.133333333333334,6.533333333333333
30.0,7.0,8.0,8.0,9.0,8.0,6.0625,6.866666666666666,7.333333333333333,6.266666666666667,7.285714285714286
31.0,8.0,8.0,8.0,9.0,9.0,7.875,7.25,7.4375,6.5,7.6
32.0,7.0,5.0,9.0,9.0,7.0,6.933333333333334,7.8,8.2,7.2,7.466666666666667
33.0,6.0,8.0,8.0,6.0,8.0,6.0,7.8125,8.0625,6.8125,7.266666666666667
34.0,7.0,7.0,7.0,7.0,8.0,7.1875,7.3125,7.333333333333333,6.866666666666666,7.25
35.0,8.0,9.0,9.0,9.0,7.0,7.3125,6.533333333333333,7.866666666666666,5.571428571428571,7.2
