iid,wave,gender,age,race,field_cd,race_p,field_cd_p,match,attr1_1,sinc1_1,fun1_1,amb1_1,shar1_1
1,1,0,21.0,4.0,1.0,2.0,8.0,0,15.0,20.0,15.0,15.0,15.0
1,1,0,21.0,4.0,1.0,2.0,1.0,0,15.0,20.0,15.0,15.0,15.0
1,1,0,21.0,4.0,1.0,4.0,1.0,1,15.0,20.0,15.0,15.0,15.0
1,1,0,21.0,4.0,1.0,2.0,1.0,1,15.0,20.0,15.0,15.0,15.0
1,1,0,21.0,4.0,1.0,3.0,1.0,1,15.0,20.0,15.0,15.0,15.0
1,1,0,21.0,4.0,1.0,2.0,8.0,0,15.0,20.0,15.0,15.0,15.0
1,1,0,21.0,4.0,1.0,2.0,13.0,0,15.0,20.0,15.0,15.0,15.0
1,1,0,21.0,4.0,1.0,2.0,8.0,0,15.0,20.0,15.0,15.0,15.0
1,1,0,21.0,4.0,1.0,2.0,8.0,1,15.0,20.0,15.0,15.0,15.0
1,1,0,21.0,4.0,1.0,2.0,8.0,0,15.0,20.0,15.0,15.0,15.0
2,1,0,24.0,2.0,1.0,2.0,8.0,0,45.0,5.0,20.0,0.0,5.0
2,1,0,24.0,2.0,1.0,2.0,1.0,0,45.0,5.0,20.0,0.0,5.0
2,1,0,24.0,2.0,1.0,4.0,1.0,0,45.0,5.0,20.0,0.0,5.0
2,1,0,24.0,2.0,1.0,2.0,1.0,1,45.0,5.0,20.0,0.0,5.0
2,1,0,24.0,2.0,1.0,3.0,1.0,0,45.0,5.0,20.0,0.0,5.0
2,1,0,24.0,2.0,1.0,2.0,8.0,0,45.0,5.0,20.0,0.0,5.0
2,1,0,24.0,2.0,1.0,2.0,13.0,0,45.0,5.0,20.0,0.0,5.0
2,1,0,24.0,2.0,1.0,2.0,8.0,0,45.0,5.0,20.0,0.0,5.0
2,1,0,24.0,2.0,1.0,2.0,8.0,1,45.0,5.0,20.0,0.0,5.0
2,1,0,24.0,2.0,1.0,2.0,8.0,0,45.0,5.0,20.0,0.0,5.0
3,1,0,25.0,2.0,2.0,2.0,8.0,0,35.0,10.0,10.0,10.0,0.0
3,1,0,25.0,2.0,2.0,2.0,1.0,0,35.0,10.0,10.0,10.0,0.0
3,1,0,25.0,2.0,2.0,4.0,1.0,0,35.0,10.0,10.0,10.0,0.0
3,1,0,25.0,2.0,2.0,2.0,1.0,0,35.0,10.0,10.0,10.0,0.0
3,1,0,25.0,2.0,2.0,3.0,1.0,0,35.0,10.0,10.0,10.0,0.0
3,1,0,25.0,2.0,2.0,2.0,8.0,0,35.0,10.0,10.0,10.0,0.0
3,1,0,25.0,2.0,2.0,2.0,13.0,0,35.0,10.0,10.0,10.0,0.0
3,1,0,25.0,2.0,2.0,2.0,8.0,0,35.0,10.0,10.0,10.0,0.0
3,1,0,25.0,2.0,2.0,2.0,8.0,0,35.0,10.0,10.0,10.0,0.0
3,1,0,25.0,2.0,2.0,2.0,8.0,0,35.0,10.0,10.0,10.0,0.0
4,1,0,23.0,2.0,1.0,2.0,8.0,0,20.0,20.0,20.0,10.0,10.0
4,1,0,23.0,2.0,1.0,2.0,1.0,0,20.0,20.0,20.0,10.0,10.0
4,1,0,23.0,2.0,1.0,4.0,1.0,0,20.0,20.0,20.0,10.0,10.0
4,1,0,23.0,2.0,1.0,2.0,1.0,1,20.0,20.0,20.0,10.0,10.0
4,1,0,23.0,2.0,1.0,3.0,1.0,0,20.0,20.0,20.0,10.0,10.0
4,1,0,23.0,2.0,1.0,2.0,8.0,0,20.0,20.0,20.0,10.0,10.0
4,1,0,23.0,2.0,1.0,2.0,13.0,0,20.0,20.0,20.0,10.0,10.0
4,1,0,23.0,2.0,1.0,2.0,8.0,0,20.0,20.0,20.0,10.0,10.0
4,1,0,23.0,2.0,1.0,2.0,8.0,1,20.0,20.0,20.0,10.0,10.0
4,1,0,23.0,2.0,1.0,2.0,8.0,0,20.0,20.0,20.0,10.0,10.0
5,1,0,21.0,2.0,1.0,2.0,8.0,0,20.0,5.0,25.0,10.0,15.0
5,1,0,21.0,2.0,1.0,2.0,1.0,0,20.0,5.0,25.0,10.0,15.0
5,1,0,21.0,2.0,1.0,4.0,1.0,0,20.0,5.0,25.0,10.0,15.0
5,1,0,21.0,2.0,1.0,2.0,1.0,1,20.0,5.0,25.0,10.0,15.0
5,1,0,21.0,2.0,1.0,3.0,1.0,0,20.0,5.0,25.0,10.0,15.0
5,1,0,21.0,2.0,1.0,2.0,8.0,0,20.0,5.0,25.0,10.0,15.0
5,1,0,21.0,2.0,1.0,2.0,13.0,0,20.0,5.0,25.0,10.0,15.0
5,1,0,21.0,2.0,1.0,2.0,8.0,0,20.0,5.0,25.0,10.0,15.0
5,1,0,21.0,2.0,1.0,2.0,8.0,1,20.0,5.0,25.0,10.0,15.0
5,1,0,21.0,2.0,1.0,2.0,8.0,0,20.0,5.0,25.0,10.0,15.0
6,1,0,23.0,4.0,1.0,2.0,8.0,0,10.0,25.0,25.0,5.0,15.0
6,1,0,23.0,4.0,1.0,2.0,1.0,0,10.0,25.0,25.0,5.0,15.0
6,1,0,23.0,4.0,1.0,4.0,1.0,0,10.0,25.0,25.0,5.0,15.0
6,1,0,23.0,4.0,1.0,2.0,1.0,1,10.0,25.0,25.0,5.0,15.0
6,1,0,23.0,4.0,1.0,3.0,1.0,0,10.0,25.0,25.0,5.0,15.0
6,1,0,23.0,4.0,1.0,2.0,8.0,0,10.0,25.0,25.0,5.0,15.0
6,1,0,23.0,4.0,1.0,2.0,13.0,0,10.0,25.0,25.0,5.0,15.0
6,1,0,23.0,4.0,1.0,2.0,8.0,0,10.0,25.0,25.0,5.0,15.0
6,1,0,23.0,4.0,1.0,2.0,8.0,1,10.0,25.0,25.0,5.0,15.0
6,1,0,23.0,4.0,1.0,2.0,8.0,0,10.0,25.0,25.0,5.0,15.0
7,1,0,22.0,4.0,1.0,2.0,8.0,0,15.0,15.0,20.0,15.0,10.0
7,1,0,22.0,4.0,1.0,2.0,1.0,0,15.0,15.0,20.0,15.0,10.0
7,1,0,22.0,4.0,1.0,4.0,1.0,0,15.0,15.0,20.0,15.0,10.0
7,1,0,22.0,4.0,1.0,2.0,1.0,1,15.0,15.0,20.0,15.0,10.0
7,1,0,22.0,4.0,1.0,3.0,1.0,0,15.0,15.0,20.0,15.0,10.0
7,1,0,22.0,4.0,1.0,2.0,8.0,0,15.0,15.0,20.0,15.0,10.0
7,1,0,22.0,4.0,1.0,2.0,13.0,0,15.0,15.0,20.0,15.0,10.0
